i2,i3,phi2_deg,phi3_deg,t_burn_s,period_k,jitter_v_m_s,mean_N1_N,mean_RK4_N,delta_ppm,R_ppm,Q_ppm,liftoff_pct,skew,N_max_N,N_min_N,A_Mg,touchdowns_per_s,stationaer_10s,arch_F_mean,arch_delta_ppm,arch_liftoff,arch_F_skew,arch_F_max,arch_F_min,arch_peak_ratio
1,4,18.94736842105263,75.78947368421052,5.0,2,0.0002562996500127812,6.3763753014154965,6.376491803632491,-19.55596087265412,-1.3244403931823576,-18.270558612787692,76.197,1.7184650141094817,40.02274684565258,0.0,5.2766010892578326,10.0,ja,6.376428,-11.3,76.1950,1.718419,40.026260,0.000000,5.277152
1,5,18.94736842105263,94.73684210526315,5.0,1,0.0003612880203087976,6.376517235561323,6.376488534191512,2.7029814666603547,-1.8263293063383346,4.50111657045073,76.022,1.7087152793669174,39.768747110775934,0.0,5.2367673662316205,10.0,ja,6.376356,-22.6,76.0235,1.708727,39.770193,0.000000,5.236994
1,6,18.94736842105263,113.68421052631578,5.0,1,0.00029599991233575373,6.376634031547954,6.376492916279023,21.019610750846567,-1.0892227000441463,22.13052127821994,75.7605,1.6959561891090478,39.43913306141194,0.0,5.185075364449452,10.0,ja,6.376523,3.6,75.7635,1.695972,39.440585,0.000000,5.185303
1,7,18.94736842105263,132.6315789473684,5.0,1,2.6462165791940606e-13,6.376664212311671,6.376500345731072,25.752734520551645,7.695735542763571e-11,25.698514953182823,21.05,1.0119369522149018,21.78970290222746,0.0,2.41718856774523,20.0,ja,6.376664,25.7,21.0500,1.011938,21.789685,0.000000,2.417186
1,8,18.94736842105263,151.57894736842104,5.0,1,3.4516112157600976e-06,6.3767271446671465,6.376500311335349,35.622154339461055,-0.0010566337118892428,35.57332891050714,25.35,0.9136126713720685,20.54035765433024,0.0,2.2212589436728987,10.0,ja,6.376727,35.6,25.3500,0.913611,20.540339,0.000000,2.221256
1,9,18.94736842105263,170.52631578947367,5.0,2,1.54908581700558e-05,6.376735267573308,6.376500334147416,36.8960359613418,0.04589660691284636,36.84363301072206,32.2605,0.672522383295231,21.965745843801702,0.0,2.4447966507961576,15.0,ja,6.376738,37.3,32.2615,0.672528,21.965646,0.000000,2.444781
1,10,18.94736842105263,189.4736842105263,5.0,2,0.0002241802824771294,6.376760729745706,6.376501371912566,40.88916266050023,0.20864499353939253,40.6740113133843,44.845,0.7196085386302596,22.172577687916082,0.0,2.477233229501463,15.0,ja,6.376729,35.9,44.8420,0.719590,22.172775,0.000000,2.477264
1,11,18.94736842105263,208.42105263157893,40.0,-1,0.17492493304580428,6.382221831946443,6.382192484995968,897.3311293721985,892.6788870264778,4.602360303469487,37.451,0.5919592913333951,23.606815169881266,0.0,2.7021587343968108,10.0,nein,6.382107,879.3,37.4440,0.581166,23.438874,0.000000,2.675821
1,12,18.94736842105263,227.36842105263156,6.2,3,0.000755634874265998,6.376629832417035,6.3765214076350425,20.361078496704597,3.3030508475457094,17.003808044019237,75.237,1.6658773719102455,38.688768876603056,0.0,5.067398867184671,10.0,ja,6.376131,-57.9,75.2420,1.665941,38.695741,0.000000,5.068492
1,13,18.94736842105263,246.3157894736842,5.6000000000000005,3,0.0005132218517175935,6.376609373199166,6.376496775121614,17.152544368390416,-0.48405645312419565,17.658288646059052,75.54650000000001,1.6822843721022611,39.10425444315513,0.0,5.132557742202638,10.0,ja,6.376527,4.2,75.5435,1.682291,39.101053,0.000000,5.132056
