phi2_deg,phi3_deg,F_mean,F_skew,liftoff,F_max,F_min,peak_ratio
151.579,227.368,6.376693,0.200116,16.2500,15.206331,0.000000,1.384746
151.579,246.316,6.376500,0.100177,0.4500,12.995355,0.000000,1.038008
151.579,265.263,6.376388,-0.288023,10.9500,12.414239,0.000000,0.946874
151.579,284.211,6.376736,-0.070830,20.1000,12.774037,0.000000,1.003299
151.579,303.158,6.376215,0.136399,24.9000,15.008902,0.000000,1.353784
151.579,322.105,6.376917,0.369341,27.6850,17.496919,0.000000,1.743969
151.579,341.053,6.376459,0.672627,32.2750,21.968691,0.000000,2.445259
170.526,0.000,6.376569,0.764593,45.4980,23.556188,0.000000,2.694219
170.526,18.947,6.376738,0.672528,32.2615,21.965646,0.000000,2.444781
170.526,37.895,6.376247,0.735889,24.4000,19.200400,0.000000,2.011119
170.526,56.842,6.376153,0.705820,28.5500,19.297814,0.000000,2.026396
170.526,75.789,6.376706,0.655137,17.7000,17.520434,0.000000,1.747657
170.526,94.737,6.376737,0.346103,22.4000,15.917364,0.000000,1.496254
170.526,113.684,6.376659,0.159806,27.3795,16.631744,0.000000,1.608287
170.526,132.632,6.376253,0.639575,22.6000,19.368962,0.000000,2.037554
170.526,151.579,6.369284,0.589345,37.3945,23.572395,0.000000,2.696761
170.526,170.526,6.366474,0.615917,38.5845,23.334701,0.000000,2.659484
170.526,189.474,6.376542,0.719577,44.8670,22.175860,0.000000,2.477748
170.526,208.421,6.376323,0.378013,27.5865,17.903573,0.000000,1.807743
170.526,227.368,6.376755,0.486322,21.7000,17.448131,0.000000,1.736318
170.526,246.316,6.376433,0.425066,23.5500,17.008466,0.000000,1.667367
170.526,265.263,6.376681,0.216368,15.8500,14.642750,0.000000,1.296362
170.526,284.211,6.376748,-0.051674,21.8500,14.228235,0.000000,1.231355
170.526,303.158,6.376341,-0.078970,26.7380,13.874545,0.000000,1.175887
170.526,322.105,6.376744,0.450347,24.8250,18.623567,0.000000,1.920657
170.526,341.053,6.376270,0.719555,44.8625,22.173763,0.000000,2.477419
189.474,0.000,6.379897,0.610923,38.2695,23.193119,0.000000,2.637280
189.474,18.947,6.376804,0.719629,44.8495,22.172751,0.000000,2.477260
189.474,37.895,6.376419,0.373293,27.6490,17.845807,0.000000,1.798684
189.474,56.842,6.376247,0.486345,21.7000,17.447648,0.000000,1.736242
189.474,75.789,6.376568,0.425140,23.5000,17.008263,0.000000,1.667335
189.474,94.737,6.376320,0.216045,15.8500,14.641292,0.000000,1.296133
189.474,113.684,6.376252,-0.052087,21.9000,14.226228,0.000000,1.231040
189.474,132.632,6.376699,-0.078807,26.7085,13.877269,0.000000,1.176314
189.474,151.579,6.376257,0.450203,24.8250,18.624018,0.000000,1.920727
189.474,170.526,6.376549,0.719569,44.8680,22.176287,0.000000,2.477815
189.474,189.474,6.376403,0.764575,45.5175,23.554001,0.000000,2.693876
189.474,208.421,6.376281,0.672598,32.2750,21.967232,0.000000,2.445030
189.474,227.368,6.376750,0.735999,24.4000,19.200379,0.000000,2.011116
189.474,246.316,6.376150,0.705707,28.6500,19.299220,0.000000,2.026617
189.474,265.263,6.376294,0.654974,17.7000,17.518818,0.000000,1.747403
189.474,284.211,6.376264,0.345725,22.4000,15.915464,0.000000,1.495956
189.474,303.158,6.376335,0.162161,27.3720,16.641999,0.000000,1.609896
189.474,322.105,6.376746,0.639657,22.5750,19.369246,0.000000,2.037598
189.474,341.053,6.372086,0.578654,37.3995,23.472397,0.000000,2.681079
208.421,0.000,6.333309,1.671908,74.3505,44.063784,0.000000,5.910340
208.421,18.947,6.374565,0.598345,37.6770,23.556283,0.000000,2.694234
208.421,37.895,6.376255,0.450225,24.8250,18.623865,0.000000,1.920703
208.421,56.842,6.376211,0.136365,24.9500,15.009127,0.000000,1.353819
208.421,75.789,6.376693,0.200089,16.2500,15.206551,0.000000,1.384780
208.421,94.737,6.376500,0.100177,0.4500,12.995351,0.000000,1.038007
208.421,113.684,6.376387,-0.287998,10.9500,12.414541,0.000000,0.946921
208.421,132.632,6.376269,-0.071142,20.1000,12.770590,0.000000,1.002759
208.421,151.579,6.376213,0.136382,24.9000,15.009015,0.000000,1.353801
208.421,170.526,6.376330,0.378013,27.5865,17.903711,0.000000,1.807765
208.421,189.474,6.376281,0.672598,32.2750,21.967232,0.000000,2.445030
208.421,208.421,6.376601,0.784650,31.9310,22.287770,0.000000,2.495298
208.421,227.368,6.376727,0.913564,25.3500,20.540416,0.000000,2.221268
208.421,246.316,6.376594,0.901824,27.9500,20.846220,0.000000,2.269226
208.421,265.263,6.376273,0.866218,22.4000,20.081689,0.000000,2.149328
208.421,284.211,6.376303,0.660197,21.7000,17.509141,0.000000,1.745886
208.421,303.158,6.376698,0.534417,26.1355,19.462155,0.000000,2.052169
208.421,322.105,6.379446,0.658455,35.7065,24.357266,0.000000,2.819849
208.421,341.053,6.376698,1.665868,75.2335,38.689860,0.000000,5.067570
227.368,0.000,6.376196,1.675312,75.4200,38.924885,0.000000,5.104428
227.368,18.947,6.376126,1.665940,75.2430,38.697401,0.000000,5.068753
227.368,37.895,6.376253,0.639423,22.5750,19.367103,0.000000,2.037262
227.368,56.842,6.376588,-0.078888,26.7175,13.875509,0.000000,1.176038
227.368,75.789,6.376735,-0.070845,20.1000,12.773725,0.000000,1.003250
227.368,94.737,6.376500,-0.091852,0.0000,11.332133,0.753323,0.881287
227.368,113.684,6.376500,-0.272972,0.0000,9.462188,2.882135,0.883047
227.368,132.632,6.376500,-0.091857,0.0000,11.332326,0.753054,0.881279
227.368,151.579,6.376693,0.200116,16.2500,15.206331,0.000000,1.384746
227.368,170.526,6.376755,0.486322,21.7000,17.448131,0.000000,1.736318
227.368,189.474,6.376750,0.735999,24.4000,19.200379,0.000000,2.011116
227.368,208.421,6.376727,0.913564,25.3500,20.540416,0.000000,2.221268
227.368,227.368,6.376308,1.011978,24.2500,21.441490,0.000000,2.362580
227.368,246.316,6.376664,1.011958,21.0500,21.789490,0.000000,2.417155
227.368,265.263,6.376275,0.961330,24.6000,21.309422,0.000000,2.341868
227.368,284.211,6.376618,0.737688,19.0000,18.408512,0.000000,1.886930
227.368,303.158,6.376331,0.700680,22.3750,21.126170,0.000000,2.313129
227.368,322.105,6.375727,1.687189,75.6315,39.319426,0.000000,5.166302
227.368,341.053,6.376533,1.682292,75.5475,39.101132,0.000000,5.132068
246.316,0.000,6.376410,0.633038,43.5965,21.796148,0.000000,2.418199
246.316,18.947,6.376939,1.682228,75.5415,39.101333,0.000000,5.132100
246.316,37.895,6.383209,0.640486,35.5900,24.373533,0.000000,2.822400
246.316,56.842,6.376485,0.162268,27.3535,16.645502,0.000000,1.610445
246.316,75.789,6.376748,-0.051706,21.8500,14.227958,0.000000,1.231311
246.316,94.737,6.376614,-0.287701,10.9500,12.415224,0.000000,0.947028
246.316,113.684,6.376499,-0.272972,0.0000,9.462194,2.882114,0.883043
246.316,132.632,6.376500,-0.272972,0.0000,9.462179,2.882126,0.883042
246.316,151.579,6.376500,0.100177,0.4500,12.995355,0.000000,1.038008
246.316,170.526,6.376433,0.425066,23.5500,17.008466,0.000000,1.667367
246.316,189.474,6.376150,0.705707,28.6500,19.299220,0.000000,2.026617
246.316,208.421,6.376594,0.901824,27.9500,20.846220,0.000000,2.269226
246.316,227.368,6.376664,1.011958,21.0500,21.789490,0.000000,2.417155
246.316,246.316,6.376620,1.038429,18.2000,22.106707,0.000000,2.466903
246.316,265.263,6.376648,1.695947,75.7600,39.435555,0.000000,5.184514
246.316,284.211,6.376303,1.700229,75.8595,39.543801,0.000000,5.201490
246.316,303.158,6.376666,1.701363,75.8880,39.576138,0.000000,5.206561
246.316,322.105,6.376606,1.700197,75.8695,39.550120,0.000000,5.202481
246.316,341.053,6.376853,0.685224,44.6000,20.320991,0.000000,2.186857
265.263,0.000,6.376420,1.703867,75.9350,39.645370,0.000000,5.217419
265.263,18.947,6.376144,0.685196,44.6500,20.320962,0.000000,2.186852
265.263,37.895,6.371003,0.937020,35.4195,25.325827,0.000000,2.971744
265.263,56.842,6.376653,0.534386,26.1250,19.464179,0.000000,2.052486
265.263,75.789,6.376265,0.345695,22.4000,15.915148,0.000000,1.495907
265.263,94.737,6.376317,0.216122,15.9000,14.642815,0.000000,1.296372
